arquivo_origem,link_atual,tipo_de_destino,destino_sugerido,confianca_sugestao,motivo,acao_recomendada
blog/aluguel-temporada-litoral-calor-casa-dicas-2026.html,../imovel-litoral-conforto-termico-clima-umido-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/aluguel-temporada-litoral-entrega-chave-limpeza-2026.html,../aluguel-temporada-litoral-vistoria-entrega-danos-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/aluguel-temporada-litoral-entrega-chave-posse-2026.html,../aluguel-temporada-litoral-vistoria-entrega-danos-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/aluguel-temporada-litoral-experiencia-hospede-diferencial-2026.html,../aluguel-temporada-litoral-taxa-ocupacao-otimizar-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/aluguel-temporada-litoral-feedback-hospede-avaliacao-2026.html,../aluguel-temporada-litoral-taxa-ocupacao-otimizar-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/aluguel-temporada-litoral-hospede-frequente-fidelidade-2026.html,../aluguel-temporada-litoral-taxa-ocupacao-otimizar-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/aluguel-temporada-litoral-promocao-baixa-temporada-2026.html,../aluguel-temporada-litoral-taxa-ocupacao-otimizar-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/aluguel-temporada-litoral-sazonalidade-estrategia-2026.html,../estrategia-preco-dinamico-temporada-litoral-paulista-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/assinatura-profissional-corretores-litoral-2026.html,backup/meta-descriptions/plano-assinatura-profissionais-imobiliaria-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/captacao-imoveis-indicacao-script-corretores-litoral-2026.html,../captacao-imoveis-indicacao-litoral-script-abordagem-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/captacao-imoveis-inverno-litoral-2026.html,docs/materiais/checklist-captacao-temporada.md,interno,,BAIXA,Markdown linkado como página,revisar_manual
blog/carrossel.html,blog/sazonalidade-diarias-litoral.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/case-de-sucesso-imobiliaria-bertioga-litoral-2026.html,checklist-completa-google-business-profile-corretores-imoveis-litoral-passo-passo-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/como-ganhar-dinheiro-aluguel-temporada-litoral-2026.html,../rentabilidade-aluguel-temporada-cidade-litoral-paulista-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/compra-imovel-litoral-caracteres-ocultos-golpe-2026.html,../como-evitar-golpes-fraudes-compra-imovel-litoral-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/comprar-imovel-bertioga-2026.html,../financiamento-imovel-litoral-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/comprar-imovel-bertioga-2026.html,../riviera-sao-lourenco-vs-litoral-norte-comparacao-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/comprar-imovel-caraguatatuba-2026.html,../financiamento-imovel-litoral-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/comprar-imovel-caraguatatuba-2026.html,../aluguel-temporada-caraguatatuba.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/comprar-imovel-guaruja-2026.html,../financiamento-imovel-litoral-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/comprar-imovel-guaruja-2026.html,../aluguel-temporada-guaruja.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/comprar-imovel-guaruja-2026.html,../bairros/guaruja/jardim-acapulco.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/comprar-imovel-na-planta-litoral-sp-2026.html,../bairros/bertioga/riviera-de-sao-lourenco.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/conteudo-educativo-imobiliarias-litoral-2026.html,../seo-conteudo-imobiliarias-litoral-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/contrato-compra-venda-imovel-litoral-2026.html,docs/materiais/modelo-contrato-compra-venda-imovel-litoral.md,interno,,BAIXA,Markdown linkado como página,revisar_manual
blog/corretor-litoral-tecnicas-fechar-vendas-rapido-2026.html,../tecnica-fechamento-vendas-corretores-litoral-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/crm-gratis-corretores-litoral-2026.html,../checklist-followup-corretores-litoral.md,interno,,BAIXA,Markdown linkado como página,revisar_manual
blog/crm-para-corretores-primeiro-contato-fechamento.html,../blog.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/crm-para-corretores-primeiro-contato-fechamento.html,../cursos.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/doacao-imovel-litoral-formalidades-custos-2026.html,../documentacao-venda-imovel-litoral-checklist-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/documentacao-compra-imovel-litoral-paulista-2026.html,../checklist-primeiro-imovel-litoral.md,interno,,BAIXA,Markdown linkado como página,revisar_manual
blog/eventos-locais-captar-imoveis-litoral-2026.html,../captacao-imoveis-litoral-sem-custo-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/eventos-networking-imobiliario-litoral-2026.html,../networking-corretores-litoral-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/eventos-networking-imobiliario-litoral-2026.html,../captacao-imoveis-litoral-sem-custo-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/faq-site-imobiliarias-litoral-2026.html,../faq-termos-privacidade.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/financiamento-imobiliario-litoral-passo-passo-2026.html,../checklist-primeiro-imovel-litoral.md,interno,,BAIXA,Markdown linkado como página,revisar_manual
blog/fluxo-captacao-imoveis-sem-invasivo-litoral-2026.html,docs/materiais/checklist-captacao-temporada.md,interno,,BAIXA,Markdown linkado como página,revisar_manual
blog/followup-whatsapp-corretores-litoral-2026.html,../checklist-followup-corretores-litoral.md,interno,,BAIXA,Markdown linkado como página,revisar_manual
blog/google-business-profile-corretores-imoveis-litoral-passo-passo-2026.html,checklist-completa-google-business-profile-corretores-imoveis-litoral-passo-passo-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/google-maps-imobiliarias-litoral-paulista-2026.html,blog/google-business-profile-corretores-imoveis-litoral-passo-passo-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/governanca-compliance-imobiliarias-litoral-2026.html,docs/materiais/modelo-termo-uso-site-imobiliario-litoral-2026.md,interno,,BAIXA,Markdown linkado como página,revisar_manual
blog/home-staging-imoveis-praia-vender-mais-rapido-2026.html,../captacao-imoveis-litoral-sem-custo-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/imobiliaria-litoral-cultura-atendimento-cliente-2026.html,../checklist-atendimento-imobiliaria-litoral-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/imovel-litoral-documentacao-consulta-online-2026.html,../documentacao-venda-imovel-litoral-checklist-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/imovel-litoral-seguranca-aluguel-temporada-2026.html,../aluguel-temporada-litoral-seguro-obrigatorio-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/imovel-litoral-seguranca-camera-monitoramento-2026.html,../imovel-litoral-seguranca-fechadura-inteligente-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/imovel-litoral-sindico-deveres-gestao-2026.html,../imovel-litoral-convencao-condominial-modificacao-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/imovel-litoral-tecnologia-economia-energia-2026.html,../imovel-litoral-sustentabilidade-recursos-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/imovel-litoral-ventilacao-casa-verao-2026.html,../imovel-litoral-conforto-termico-clima-umido-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/investidor-imovel-litoral-receita-aluguel-tributacao-2026.html,../aluguel-temporada-litoral-controle-receita-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/mapas-bairros-seo-imobiliarias-litoral-2026.html,../neighborhood.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/marina-usucapiao-averbacao-imoveis-litoral-sp-2026.html,../avaliar-imovel-na-planta-litoral-sp-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/marina-usucapiao-averbacao-imoveis-litoral-sp-2026.html,../checklist-visita-imovel-temporada-litoral-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/marketing-digital-imoveis-luxo-exterior-litoral-2026.html,../anunciar-imoveis-luxo-instagram-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/nps-imobiliarias-litoral-paulista-2026.html,docs/materiais/modelo-pesquisa-nps-imobiliaria-litoral-2026.md,interno,,BAIXA,Markdown linkado como página,revisar_manual
blog/planejamento-estrategico-imobiliaria-litoral-2026.html,../diferensiacaocompetitiva-imobiliarias-litoral-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/primeiro-imovel-litoral-sp-guia-comprar-2026.html,../avaliar-imovel-usado-litoral-sp-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/primeiro-imovel-litoral-sp-guia-comprar-2026.html,../financiamento-imovel-litoral-sp-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/proposta-valor-unica-imobiliaria-litoral-2026.html,../diferensiacaocompetitiva-imobiliarias-litoral-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/quanto-custa-morar-em-bertioga-2026.html,../bairros/bertioga/riviera-de-sao-lourenco.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/retorno-aluguel-temporada-indicadores-2026.html,../rentabilidade-aluguel-temporada-cidade-litoral-paulista-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/riviera-de-sao-lourenco-vs-litoral-norte-sp-2026.html,../bairros/bertioga/riviera-de-sao-lourenco.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/satisfacao-cliente-imobiliarias-litoral-2026.html,docs/materiais/modelo-pesquisa-satisfacao-imobiliaria-litoral-2026.md,interno,,BAIXA,Markdown linkado como página,revisar_manual
blog/seo-captar-compradores-litoral-2026.html,../financiamento-imoveis-litoral-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/seo-local-bairros-litoral-paulista-2026.html,../zona-leste-santos-imoveis-ia.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/seo-local-bairros-litoral-paulista-2026.html,../zona-oeste-santos-imoveis-ia.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/seo-local-bairros-litoral-paulista-2026.html,blog/zona-norte-santos-imoveis-ia.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/swot-imobiliaria-litoral-paulista-2026.html,docs/materiais/modelo-swot-imobiliaria-litoral-2026.md,interno,,BAIXA,Markdown linkado como página,revisar_manual
blog/temporada-conteudo-seo-imobiliarias-litoral-2026.html,../seo-temporada-imoveis-litoral-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/temporada-conteudo-seo-imobiliarias-litoral-2026.html,../aluguel-temporada-litoral-guia-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/treinamento-corretores-imoveis-litoral-2026.html,../script-ligacao-corretores-litoral.md,interno,,BAIXA,Markdown linkado como página,revisar_manual
blog/treinamento-corretores-imoveis-litoral-2026.html,../guia-apresentacao-imoveis-litoral.md,interno,,BAIXA,Markdown linkado como página,revisar_manual
